,gene_ids,feature_types
MTFMT,ENSG00000103707,Gene Expression
SLC51B,ENSG00000186198,Gene Expression
AC013553.3,ENSG00000277351,Gene Expression
RASL12,ENSG00000103710,Gene Expression
KBTBD13,ENSG00000234438,Gene Expression
AC013553.4,ENSG00000278737,Gene Expression
UBAP1L,ENSG00000246922,Gene Expression
PDCD7,ENSG00000090470,Gene Expression
CLPX,ENSG00000166855,Gene Expression
CILP,ENSG00000138615,Gene Expression
PARP16,ENSG00000138617,Gene Expression
IGDCC3,ENSG00000174498,Gene Expression
IGDCC4,ENSG00000103742,Gene Expression
DPP8,ENSG00000074603,Gene Expression
HACD3,ENSG00000074696,Gene Expression
INTS14,ENSG00000138614,Gene Expression
SLC24A1,ENSG00000074621,Gene Expression
AC011939.3,ENSG00000275638,Gene Expression
DENND4A,ENSG00000174485,Gene Expression
RAB11A,ENSG00000103769,Gene Expression
MEGF11,ENSG00000157890,Gene Expression
AC055855.2,ENSG00000261318,Gene Expression
DIS3L,ENSG00000166938,Gene Expression
AC055855.1,ENSG00000260773,Gene Expression
TIPIN,ENSG00000075131,Gene Expression
MAP2K1,ENSG00000169032,Gene Expression
AC116913.1,ENSG00000261351,Gene Expression
SNAPC5,ENSG00000174446,Gene Expression
RPL4,ENSG00000174444,Gene Expression
ZWILCH,ENSG00000174442,Gene Expression
LCTL,ENSG00000188501,Gene Expression
LINC01169,ENSG00000259471,Gene Expression
SMAD6,ENSG00000137834,Gene Expression
AC110048.2,ENSG00000277152,Gene Expression
AC093334.1,ENSG00000259437,Gene Expression
LINC02206,ENSG00000259289,Gene Expression
AC087482.1,ENSG00000259347,Gene Expression
SMAD3,ENSG00000166949,Gene Expression
AC012568.1,ENSG00000259202,Gene Expression
AAGAB,ENSG00000103591,Gene Expression
IQCH,ENSG00000103599,Gene Expression
IQCH-AS1,ENSG00000259673,Gene Expression
C15orf61,ENSG00000189227,Gene Expression
AC016355.1,ENSG00000270964,Gene Expression
MAP2K5,ENSG00000137764,Gene Expression
SKOR1,ENSG00000188779,Gene Expression
AC009292.1,ENSG00000245719,Gene Expression
PIAS1,ENSG00000033800,Gene Expression
AC107871.1,ENSG00000260007,Gene Expression
CALML4,ENSG00000129007,Gene Expression
CLN6,ENSG00000128973,Gene Expression
AC107871.2,ENSG00000260657,Gene Expression
FEM1B,ENSG00000169018,Gene Expression
ITGA11,ENSG00000137809,Gene Expression
CORO2B,ENSG00000103647,Gene Expression
ANP32A,ENSG00000140350,Gene Expression
SPESP1,ENSG00000258484,Gene Expression
NOX5,ENSG00000255346,Gene Expression
AC027088.3,ENSG00000259265,Gene Expression
EWSAT1,ENSG00000212766,Gene Expression
AC027088.2,ENSG00000259222,Gene Expression
GLCE,ENSG00000138604,Gene Expression
AC026992.2,ENSG00000261634,Gene Expression
AC026992.1,ENSG00000259504,Gene Expression
PAQR5,ENSG00000137819,Gene Expression
AC027237.3,ENSG00000259426,Gene Expression
KIF23,ENSG00000137807,Gene Expression
RPLP1,ENSG00000137818,Gene Expression
AC027237.2,ENSG00000259215,Gene Expression
DRAIC,ENSG00000245750,Gene Expression
AC100826.1,ENSG00000259457,Gene Expression
AC021818.1,ENSG00000259309,Gene Expression
TLE3,ENSG00000140332,Gene Expression
AC026583.1,ENSG00000259252,Gene Expression
AC048383.1,ENSG00000259503,Gene Expression
LINC02205,ENSG00000259473,Gene Expression
LINC02204,ENSG00000280639,Gene Expression
SALRNA3,ENSG00000281264,Gene Expression
SALRNA2,ENSG00000280515,Gene Expression
UACA,ENSG00000137831,Gene Expression
AC009269.2,ENSG00000259532,Gene Expression
AC009269.3,ENSG00000259624,Gene Expression
LARP6,ENSG00000166173,Gene Expression
LRRC49,ENSG00000137821,Gene Expression
THAP10,ENSG00000129028,Gene Expression
THSD4,ENSG00000187720,Gene Expression
CT62,ENSG00000225362,Gene Expression
THSD4-AS1,ENSG00000259964,Gene Expression
AC108861.1,ENSG00000278408,Gene Expression
NR2E3,ENSG00000278570,Gene Expression
AC104938.1,ENSG00000260037,Gene Expression
MYO9A,ENSG00000066933,Gene Expression
AC022872.1,ENSG00000261632,Gene Expression
SENP8,ENSG00000166192,Gene Expression
AC020779.2,ENSG00000260173,Gene Expression
GRAMD2A,ENSG00000175318,Gene Expression
PKM,ENSG00000067225,Gene Expression
PARP6,ENSG00000137817,Gene Expression
AC009690.3,ENSG00000273025,Gene Expression
AC009690.2,ENSG00000261460,Gene Expression
CELF6,ENSG00000140488,Gene Expression
AC009690.1,ENSG00000260729,Gene Expression
HEXA,ENSG00000213614,Gene Expression
HEXA-AS1,ENSG00000260339,Gene Expression
TMEM202,ENSG00000187806,Gene Expression
TMEM202-AS1,ENSG00000261423,Gene Expression
AC079322.1,ENSG00000261187,Gene Expression
ARIH1,ENSG00000166233,Gene Expression
LINC02259,ENSG00000259783,Gene Expression
AC100827.4,ENSG00000260672,Gene Expression
GOLGA6B,ENSG00000215186,Gene Expression
HIGD2B,ENSG00000175202,Gene Expression
BBS4,ENSG00000140463,Gene Expression
ADPGK,ENSG00000159322,Gene Expression
ADPGK-AS1,ENSG00000260898,Gene Expression
NEO1,ENSG00000067141,Gene Expression
AC068397.1,ENSG00000259528,Gene Expression
HCN4,ENSG00000138622,Gene Expression
AC068397.2,ENSG00000259650,Gene Expression
REC114,ENSG00000183324,Gene Expression
NPTN,ENSG00000156642,Gene Expression
CD276,ENSG00000103855,Gene Expression
AC022188.1,ENSG00000276807,Gene Expression
C15orf59,ENSG00000205363,Gene Expression
C15orf59-AS1,ENSG00000260469,Gene Expression
AC018943.1,ENSG00000260624,Gene Expression
TBC1D21,ENSG00000167139,Gene Expression
LOXL1-AS1,ENSG00000261801,Gene Expression
LOXL1,ENSG00000129038,Gene Expression
STOML1,ENSG00000067221,Gene Expression
PML,ENSG00000140464,Gene Expression
GOLGA6A,ENSG00000159289,Gene Expression
ISLR2,ENSG00000167178,Gene Expression
AC010931.2,ENSG00000248540,Gene Expression
AC010931.3,ENSG00000261543,Gene Expression
ISLR,ENSG00000129009,Gene Expression
STRA6,ENSG00000137868,Gene Expression
CCDC33,ENSG00000140481,Gene Expression
AC023300.2,ENSG00000277749,Gene Expression
CYP11A1,ENSG00000140459,Gene Expression
AC090826.1,ENSG00000261821,Gene Expression
AC090826.2,ENSG00000274937,Gene Expression
LINC02255,ENSG00000277718,Gene Expression
SEMA7A,ENSG00000138623,Gene Expression
UBL7,ENSG00000138629,Gene Expression
UBL7-AS1,ENSG00000247240,Gene Expression
AC012435.2,ENSG00000261775,Gene Expression
ARID3B,ENSG00000179361,Gene Expression
CLK3,ENSG00000179335,Gene Expression
AC100835.2,ENSG00000275527,Gene Expression
AC100835.1,ENSG00000260919,Gene Expression
EDC3,ENSG00000179151,Gene Expression
CYP1A1,ENSG00000140465,Gene Expression
CYP1A2,ENSG00000140505,Gene Expression
CSK,ENSG00000103653,Gene Expression
LMAN1L,ENSG00000140506,Gene Expression
CPLX3,ENSG00000213578,Gene Expression
ULK3,ENSG00000140474,Gene Expression
SCAMP2,ENSG00000140497,Gene Expression
MPI,ENSG00000178802,Gene Expression
FAM219B,ENSG00000178761,Gene Expression
COX5A,ENSG00000178741,Gene Expression
RPP25,ENSG00000178718,Gene Expression
SCAMP5,ENSG00000198794,Gene Expression
PPCDC,ENSG00000138621,Gene Expression
C15orf39,ENSG00000167173,Gene Expression
AC113208.3,ENSG00000261779,Gene Expression
GOLGA6C,ENSG00000167195,Gene Expression
GOLGA6D,ENSG00000140478,Gene Expression
COMMD4,ENSG00000140365,Gene Expression
AC068338.3,ENSG00000275645,Gene Expression
NEIL1,ENSG00000140398,Gene Expression
MAN2C1,ENSG00000140400,Gene Expression
AC068338.2,ENSG00000260274,Gene Expression
SIN3A,ENSG00000169375,Gene Expression
PTPN9,ENSG00000169410,Gene Expression
SNUPN,ENSG00000169371,Gene Expression
AC105020.3,ENSG00000260235,Gene Expression
AC105020.2,ENSG00000260206,Gene Expression
IMP3,ENSG00000177971,Gene Expression
AC105020.6,ENSG00000275454,Gene Expression
AC105020.5,ENSG00000274515,Gene Expression
SNX33,ENSG00000173548,Gene Expression
CSPG4,ENSG00000173546,Gene Expression
AC105020.4,ENSG00000260892,Gene Expression
AC105020.1,ENSG00000203392,Gene Expression
ODF3L1,ENSG00000182950,Gene Expression
DNM1P35,ENSG00000246877,Gene Expression
AC019294.3,ENSG00000261043,Gene Expression
UBE2Q2,ENSG00000140367,Gene Expression
FBXO22,ENSG00000167196,Gene Expression
NRG4,ENSG00000169752,Gene Expression
TMEM266,ENSG00000169758,Gene Expression
AC091100.1,ENSG00000259422,Gene Expression
ETFA,ENSG00000140374,Gene Expression
ISL2,ENSG00000159556,Gene Expression
AC027243.1,ENSG00000259514,Gene Expression
AC027243.2,ENSG00000270036,Gene Expression
SCAPER,ENSG00000140386,Gene Expression
RCN2,ENSG00000117906,Gene Expression
PSTPIP1,ENSG00000140368,Gene Expression
TSPAN3,ENSG00000140391,Gene Expression
AC090181.1,ENSG00000259652,Gene Expression
PEAK1,ENSG00000173517,Gene Expression
HMG20A,ENSG00000140382,Gene Expression
AC046168.1,ENSG00000259362,Gene Expression
AC046168.2,ENSG00000259420,Gene Expression
LINGO1,ENSG00000169783,Gene Expression
LINGO1-AS1,ENSG00000259666,Gene Expression
LINGO1-AS2,ENSG00000259281,Gene Expression
AC105133.1,ENSG00000259213,Gene Expression
AC104758.4,ENSG00000261244,Gene Expression
AC104758.5,ENSG00000261403,Gene Expression
TBC1D2B,ENSG00000167202,Gene Expression
AC104758.2,ENSG00000259792,Gene Expression
SH2D7,ENSG00000183476,Gene Expression
CIB2,ENSG00000136425,Gene Expression
IDH3A,ENSG00000166411,Gene Expression
AC090260.1,ENSG00000260988,Gene Expression
ACSBG1,ENSG00000103740,Gene Expression
AC090607.3,ENSG00000259708,Gene Expression
DNAJA4,ENSG00000140403,Gene Expression
WDR61,ENSG00000140395,Gene Expression
AC090607.1,ENSG00000259322,Gene Expression
AC090607.5,ENSG00000277482,Gene Expression
CRABP1,ENSG00000166426,Gene Expression
IREB2,ENSG00000136381,Gene Expression
AC027228.1,ENSG00000259474,Gene Expression
HYKK,ENSG00000188266,Gene Expression
PSMA4,ENSG00000041357,Gene Expression
CHRNA5,ENSG00000169684,Gene Expression
AC027228.2,ENSG00000261762,Gene Expression
CHRNA3,ENSG00000080644,Gene Expression
CHRNB4,ENSG00000117971,Gene Expression
AC067863.1,ENSG00000259555,Gene Expression
ADAMTS7,ENSG00000136378,Gene Expression
MORF4L1,ENSG00000185787,Gene Expression
CTSH,ENSG00000103811,Gene Expression
RASGRF1,ENSG00000058335,Gene Expression
AC011944.1,ENSG00000177699,Gene Expression
ANKRD34C-AS1,ENSG00000259234,Gene Expression
ANKRD34C,ENSG00000235711,Gene Expression
TMED3,ENSG00000166557,Gene Expression
KIAA1024,ENSG00000169330,Gene Expression
AC021483.1,ENSG00000259548,Gene Expression
MTHFS,ENSG00000136371,Gene Expression
AC021483.2,ENSG00000261229,Gene Expression
ST20-MTHFS,ENSG00000259332,Gene Expression
ST20,ENSG00000180953,Gene Expression
ST20-AS1,ENSG00000259642,Gene Expression
BCL2A1,ENSG00000140379,Gene Expression
ZFAND6,ENSG00000086666,Gene Expression
FAH,ENSG00000103876,Gene Expression
AC087761.1,ENSG00000259967,Gene Expression
CTXND1,ENSG00000259417,Gene Expression
LINC00927,ENSG00000259361,Gene Expression
AC016705.2,ENSG00000259495,Gene Expression
ARNT2,ENSG00000172379,Gene Expression
AC016705.1,ENSG00000258010,Gene Expression
AC108451.1,ENSG00000259175,Gene Expression
AC108451.2,ENSG00000270919,Gene Expression
ABHD17C,ENSG00000136379,Gene Expression
AC023302.1,ENSG00000271983,Gene Expression
CEMIP,ENSG00000103888,Gene Expression
AC027808.1,ENSG00000259546,Gene Expression
AC027808.2,ENSG00000259649,Gene Expression
MESD,ENSG00000117899,Gene Expression
AC068870.1,ENSG00000260619,Gene Expression
AC068870.2,ENSG00000277782,Gene Expression
TLNRD1,ENSG00000140406,Gene Expression
CFAP161,ENSG00000156206,Gene Expression
IL16,ENSG00000172349,Gene Expression
STARD5,ENSG00000172345,Gene Expression
TMC3-AS1,ENSG00000259343,Gene Expression
TMC3,ENSG00000188869,Gene Expression
AC103858.2,ENSG00000273920,Gene Expression
AC109809.1,ENSG00000275995,Gene Expression
AC060809.1,ENSG00000259543,Gene Expression
AC023034.1,ENSG00000259594,Gene Expression
AC023034.2,ENSG00000259610,Gene Expression
AC104041.1,ENSG00000259692,Gene Expression
AC025219.1,ENSG00000259445,Gene Expression
MEX3B,ENSG00000183496,Gene Expression
LINC01583,ENSG00000259518,Gene Expression
EFL1,ENSG00000140598,Gene Expression
SAXO2,ENSG00000188659,Gene Expression
GOLGA6L10,ENSG00000278662,Gene Expression
GOLGA6L9,ENSG00000197978,Gene Expression
RPS17,ENSG00000182774,Gene Expression
AC245033.1,ENSG00000260836,Gene Expression
AC245033.2,ENSG00000278013,Gene Expression
CPEB1,ENSG00000214575,Gene Expression
CPEB1-AS1,ENSG00000259462,Gene Expression
AP3B2,ENSG00000103723,Gene Expression
AC105339.3,ENSG00000259442,Gene Expression
SNHG21,ENSG00000250988,Gene Expression
FSD2,ENSG00000186628,Gene Expression
WHAMM,ENSG00000156232,Gene Expression
HOMER2,ENSG00000103942,Gene Expression
AC022558.2,ENSG00000259805,Gene Expression
RAMMET,ENSG00000169612,Gene Expression
C15orf40,ENSG00000169609,Gene Expression
AC024270.4,ENSG00000260608,Gene Expression
BTBD1,ENSG00000064726,Gene Expression
AC022558.3,ENSG00000273747,Gene Expression
AC024270.2,ENSG00000260351,Gene Expression
TM6SF1,ENSG00000136404,Gene Expression
HDGFL3,ENSG00000166503,Gene Expression
AC024270.3,ENSG00000260579,Gene Expression
AC103876.1,ENSG00000259986,Gene Expression
BNC1,ENSG00000169594,Gene Expression
SH3GL3,ENSG00000140600,Gene Expression
ADAMTSL3,ENSG00000156218,Gene Expression
AC136698.1,ENSG00000259694,Gene Expression
UBE2Q2L,ENSG00000259511,Gene Expression
GOLGA6L4,ENSG00000184206,Gene Expression
AC243562.3,ENSG00000259774,Gene Expression
AC048382.4,ENSG00000259551,Gene Expression
AC048382.5,ENSG00000275120,Gene Expression
ZSCAN2,ENSG00000176371,Gene Expression
AC048382.1,ENSG00000256278,Gene Expression
AC048382.6,ENSG00000276278,Gene Expression
WDR73,ENSG00000177082,Gene Expression
NMB,ENSG00000197696,Gene Expression
SEC11A,ENSG00000140612,Gene Expression
AC115102.1,ENSG00000259654,Gene Expression
ZNF592,ENSG00000166716,Gene Expression
ALPK3,ENSG00000136383,Gene Expression
SLC28A1,ENSG00000156222,Gene Expression
PDE8A,ENSG00000073417,Gene Expression
AKAP13,ENSG00000170776,Gene Expression
AC087286.3,ENSG00000259375,Gene Expression
AC087286.2,ENSG00000259367,Gene Expression
AC087286.1,ENSG00000259276,Gene Expression
AC021739.4,ENSG00000259544,Gene Expression
AC021739.2,ENSG00000259407,Gene Expression
AC021739.5,ENSG00000259762,Gene Expression
AC021739.3,ENSG00000259416,Gene Expression
KLHL25,ENSG00000183655,Gene Expression
LINC01584,ENSG00000260477,Gene Expression
AGBL1,ENSG00000273540,Gene Expression
AGBL1-AS1,ENSG00000260125,Gene Expression
AC012229.1,ENSG00000259734,Gene Expression
AC016987.1,ENSG00000259620,Gene Expression
AC078905.1,ENSG00000259761,Gene Expression
AC020687.1,ENSG00000259560,Gene Expression
LINC00052,ENSG00000259527,Gene Expression
NTRK3,ENSG00000140538,Gene Expression
NTRK3-AS1,ENSG00000260305,Gene Expression
MRPL46,ENSG00000259494,Gene Expression
MRPS11,ENSG00000181991,Gene Expression
DET1,ENSG00000140543,Gene Expression
LINC01586,ENSG00000249487,Gene Expression
AEN,ENSG00000181026,Gene Expression
ISG20,ENSG00000172183,Gene Expression
AC103982.1,ENSG00000259676,Gene Expression
ACAN,ENSG00000157766,Gene Expression
HAPLN3,ENSG00000140511,Gene Expression
MFGE8,ENSG00000140545,Gene Expression
AC013565.1,ENSG00000260123,Gene Expression
AC013565.3,ENSG00000261407,Gene Expression
ABHD2,ENSG00000140526,Gene Expression
RLBP1,ENSG00000140522,Gene Expression
FANCI,ENSG00000140525,Gene Expression
POLG,ENSG00000140521,Gene Expression
AC124068.2,ENSG00000261441,Gene Expression
MIR9-3HG,ENSG00000255571,Gene Expression
RHCG,ENSG00000140519,Gene Expression
LINC00928,ENSG00000259218,Gene Expression
AC013391.3,ENSG00000261478,Gene Expression
TICRR,ENSG00000140534,Gene Expression
AC013391.1,ENSG00000259615,Gene Expression
KIF7,ENSG00000166813,Gene Expression
PLIN1,ENSG00000166819,Gene Expression
PEX11A,ENSG00000166821,Gene Expression
WDR93,ENSG00000140527,Gene Expression
MESP1,ENSG00000166823,Gene Expression
MESP2,ENSG00000188095,Gene Expression
ANPEP,ENSG00000166825,Gene Expression
AP3S2,ENSG00000157823,Gene Expression
C15orf38-AP3S2,ENSG00000250021,Gene Expression
ARPIN,ENSG00000242498,Gene Expression
ZNF710,ENSG00000140548,Gene Expression
ZNF710-AS1,ENSG00000259291,Gene Expression
IDH2,ENSG00000182054,Gene Expression
IDH2-DT,ENSG00000259685,Gene Expression
SEMA4B,ENSG00000185033,Gene Expression
CIB1,ENSG00000185043,Gene Expression
GDPGP1,ENSG00000183208,Gene Expression
AC091167.7,ENSG00000284626,Gene Expression
TTLL13P,ENSG00000213471,Gene Expression
AC091167.2,ENSG00000261147,Gene Expression
NGRN,ENSG00000182768,Gene Expression
AC091167.6,ENSG00000275674,Gene Expression
AC091167.5,ENSG00000275345,Gene Expression
ZNF774,ENSG00000196391,Gene Expression
IQGAP1,ENSG00000140575,Gene Expression
AC018946.1,ENSG00000259177,Gene Expression
CRTC3,ENSG00000140577,Gene Expression
AC103739.1,ENSG00000259212,Gene Expression
AC103739.2,ENSG00000259314,Gene Expression
CRTC3-AS1,ENSG00000259736,Gene Expression
AC021422.1,ENSG00000278370,Gene Expression
BLM,ENSG00000197299,Gene Expression
FURIN,ENSG00000140564,Gene Expression
FES,ENSG00000182511,Gene Expression
MAN2A2,ENSG00000196547,Gene Expression
AC068831.4,ENSG00000259661,Gene Expression
HDDC3,ENSG00000184508,Gene Expression
UNC45A,ENSG00000140553,Gene Expression
AC068831.1,ENSG00000258384,Gene Expression
RCCD1,ENSG00000166965,Gene Expression
PRC1,ENSG00000198901,Gene Expression
AC068831.7,ENSG00000284946,Gene Expression
PRC1-AS1,ENSG00000258725,Gene Expression
VPS33B,ENSG00000184056,Gene Expression
VPS33B-DT,ENSG00000214432,Gene Expression
AC068831.6,ENSG00000278514,Gene Expression
SV2B,ENSG00000185518,Gene Expression
AC104035.1,ENSG00000258551,Gene Expression
AC107958.3,ENSG00000258954,Gene Expression
AC107958.2,ENSG00000258765,Gene Expression
SLCO3A1,ENSG00000176463,Gene Expression
AC116903.2,ENSG00000260661,Gene Expression
AC116903.1,ENSG00000258761,Gene Expression
ST8SIA2,ENSG00000140557,Gene Expression
AC090985.1,ENSG00000259170,Gene Expression
C15orf32,ENSG00000183643,Gene Expression
LINC00930,ENSG00000258647,Gene Expression
AC091544.5,ENSG00000271763,Gene Expression
FAM174B,ENSG00000185442,Gene Expression
AC091544.7,ENSG00000275965,Gene Expression
AC106028.4,ENSG00000274215,Gene Expression
AC106028.5,ENSG00000275175,Gene Expression
AC013394.1,ENSG00000279765,Gene Expression
CHD2,ENSG00000173575,Gene Expression
RGMA,ENSG00000182175,Gene Expression
AC112693.1,ENSG00000258888,Gene Expression
AC091078.1,ENSG00000257060,Gene Expression
AC091078.3,ENSG00000258909,Gene Expression
AC110023.1,ENSG00000258631,Gene Expression
LINC01579,ENSG00000258754,Gene Expression
AC103996.3,ENSG00000259123,Gene Expression
LINC02207,ENSG00000258476,Gene Expression
AC103996.2,ENSG00000258831,Gene Expression
LINC01580,ENSG00000258785,Gene Expression
LINC01581,ENSG00000259724,Gene Expression
MCTP2,ENSG00000140563,Gene Expression
AC009432.1,ENSG00000259331,Gene Expression
AC107976.1,ENSG00000270017,Gene Expression
AC087633.1,ENSG00000258433,Gene Expression
AC087636.1,ENSG00000258773,Gene Expression
LINC01197,ENSG00000248441,Gene Expression
AC104260.1,ENSG00000273923,Gene Expression
LINC00924,ENSG00000259134,Gene Expression
AC027013.1,ENSG00000258489,Gene Expression
AC015574.1,ENSG00000275016,Gene Expression
AC012409.2,ENSG00000275443,Gene Expression
AC024337.1,ENSG00000259702,Gene Expression
AC024337.2,ENSG00000273771,Gene Expression
NR2F2-AS1,ENSG00000247809,Gene Expression
AC012409.3,ENSG00000277135,Gene Expression
AC012409.1,ENSG00000259359,Gene Expression
AC012409.4,ENSG00000278146,Gene Expression
LINC02157,ENSG00000259763,Gene Expression
NR2F2,ENSG00000185551,Gene Expression
AC103746.1,ENSG00000275322,Gene Expression
AC087477.2,ENSG00000259275,Gene Expression
AC087477.5,ENSG00000259542,Gene Expression
AC087477.3,ENSG00000259312,Gene Expression
AC087477.4,ENSG00000259534,Gene Expression
SPATA8-AS1,ENSG00000259282,Gene Expression
SPATA8,ENSG00000185594,Gene Expression
AC020704.1,ENSG00000259403,Gene Expression
LINC02253,ENSG00000259485,Gene Expression
LINC02254,ENSG00000259664,Gene Expression
AC026523.1,ENSG00000259582,Gene Expression
LINC00923,ENSG00000251209,Gene Expression
AC024651.2,ENSG00000259870,Gene Expression
ARRDC4,ENSG00000140450,Gene Expression
AC024651.1,ENSG00000259478,Gene Expression
LINC02251,ENSG00000258483,Gene Expression
AC022523.1,ENSG00000259199,Gene Expression
LINC01582,ENSG00000259611,Gene Expression
AC022523.3,ENSG00000259320,Gene Expression
AC015722.1,ENSG00000259041,Gene Expression
AC015722.2,ENSG00000274312,Gene Expression
LINC02351,ENSG00000277987,Gene Expression
FAM169B,ENSG00000283597,Gene Expression
AC118658.1,ENSG00000259424,Gene Expression
IGF1R,ENSG00000140443,Gene Expression
AC069029.1,ENSG00000259621,Gene Expression
AC036108.1,ENSG00000259475,Gene Expression
PGPEP1L,ENSG00000183571,Gene Expression
AC036108.4,ENSG00000278090,Gene Expression
SYNM,ENSG00000182253,Gene Expression
AC036108.2,ENSG00000261054,Gene Expression
TTC23,ENSG00000103852,Gene Expression
AC036108.3,ENSG00000261616,Gene Expression
LRRC28,ENSG00000168904,Gene Expression
AC015660.2,ENSG00000259590,Gene Expression
AC015660.3,ENSG00000259760,Gene Expression
AC015660.4,ENSG00000274294,Gene Expression
AC015660.1,ENSG00000259341,Gene Expression
MEF2A,ENSG00000068305,Gene Expression
LYSMD4,ENSG00000183060,Gene Expression
AC090825.1,ENSG00000259363,Gene Expression
AC084855.1,ENSG00000254744,Gene Expression
ADAMTS17,ENSG00000140470,Gene Expression
AC084855.2,ENSG00000259219,Gene Expression
AC022710.1,ENSG00000259356,Gene Expression
SPATA41,ENSG00000189419,Gene Expression
CERS3-AS1,ENSG00000259430,Gene Expression
CERS3,ENSG00000154227,Gene Expression
AC027020.2,ENSG00000270127,Gene Expression
AC027020.1,ENSG00000259540,Gene Expression
LINS1,ENSG00000140471,Gene Expression
ASB7,ENSG00000183475,Gene Expression
AC087762.1,ENSG00000259579,Gene Expression
AC015712.1,ENSG00000232386,Gene Expression
AC015712.4,ENSG00000259604,Gene Expression
ALDH1A3,ENSG00000184254,Gene Expression
AC015712.7,ENSG00000278456,Gene Expression
AC015712.2,ENSG00000259583,Gene Expression
LRRK1,ENSG00000154237,Gene Expression
AC090907.1,ENSG00000259376,Gene Expression
AC090907.2,ENSG00000259755,Gene Expression
AC019254.2,ENSG00000259365,Gene Expression
AC019254.1,ENSG00000259182,Gene Expression
CHSY1,ENSG00000131873,Gene Expression
SELENOS,ENSG00000131871,Gene Expression
SNRPA1,ENSG00000131876,Gene Expression
AC023024.1,ENSG00000259172,Gene Expression
PCSK6,ENSG00000140479,Gene Expression
PCSK6-AS1,ENSG00000259764,Gene Expression
AC090164.3,ENSG00000277210,Gene Expression
AC090164.4,ENSG00000282793,Gene Expression
LINC02348,ENSG00000273585,Gene Expression
TM2D3,ENSG00000184277,Gene Expression
TARSL2,ENSG00000185418,Gene Expression
OR4F6,ENSG00000184140,Gene Expression
OR4F15,ENSG00000182854,Gene Expression
OR4F4,ENSG00000177693,Gene Expression
FAM138E,ENSG00000248893,Gene Expression
AC140725.1,ENSG00000259553,Gene Expression
WASIR2,ENSG00000231439,Gene Expression
POLR3K,ENSG00000161980,Gene Expression
SNRNP25,ENSG00000161981,Gene Expression
RHBDF1,ENSG00000007384,Gene Expression
MPG,ENSG00000103152,Gene Expression
NPRL3,ENSG00000103148,Gene Expression
Z69720.1,ENSG00000269482,Gene Expression
Z69666.1,ENSG00000228779,Gene Expression
HBZ,ENSG00000130656,Gene Expression
HBM,ENSG00000206177,Gene Expression
HBA2,ENSG00000188536,Gene Expression
HBA1,ENSG00000206172,Gene Expression
HBQ1,ENSG00000086506,Gene Expression
Z69706.1,ENSG00000268836,Gene Expression
LUC7L,ENSG00000007392,Gene Expression
FAM234A,ENSG00000167930,Gene Expression
AC004754.1,ENSG00000269881,Gene Expression
RGS11,ENSG00000076344,Gene Expression
ARHGDIG,ENSG00000242173,Gene Expression
PDIA2,ENSG00000185615,Gene Expression
AXIN1,ENSG00000103126,Gene Expression
MRPL28,ENSG00000086504,Gene Expression
TMEM8A,ENSG00000129925,Gene Expression
NME4,ENSG00000103202,Gene Expression
DECR2,ENSG00000242612,Gene Expression
AL023881.1,ENSG00000276984,Gene Expression
RAB11FIP3,ENSG00000090565,Gene Expression
LINC00235,ENSG00000277142,Gene Expression
CAPN15,ENSG00000103326,Gene Expression
Z97986.1,ENSG00000261691,Gene Expression
PRR35,ENSG00000161992,Gene Expression
PIGQ,ENSG00000007541,Gene Expression
NHLRC4,ENSG00000257108,Gene Expression
RAB40C,ENSG00000197562,Gene Expression
WFIKKN1,ENSG00000127578,Gene Expression
METTL26,ENSG00000130731,Gene Expression
MCRIP2,ENSG00000172366,Gene Expression
AL022341.1,ENSG00000228201,Gene Expression
WDR90,ENSG00000161996,Gene Expression
AL022341.2,ENSG00000262528,Gene Expression
RHOT2,ENSG00000140983,Gene Expression
RHBDL1,ENSG00000103269,Gene Expression
Z92544.1,ENSG00000260394,Gene Expression
STUB1,ENSG00000103266,Gene Expression
JMJD8,ENSG00000161999,Gene Expression
WDR24,ENSG00000127580,Gene Expression
FBXL16,ENSG00000127585,Gene Expression
Z97653.1,ENSG00000259840,Gene Expression
METRN,ENSG00000103260,Gene Expression
FAM173A,ENSG00000103254,Gene Expression
CCDC78,ENSG00000162004,Gene Expression
HAGHL,ENSG00000103253,Gene Expression
NARFL,ENSG00000103245,Gene Expression
MSLN,ENSG00000102854,Gene Expression
MSLNL,ENSG00000162006,Gene Expression
RPUSD1,ENSG00000007376,Gene Expression
CHTF18,ENSG00000127586,Gene Expression
GNG13,ENSG00000127588,Gene Expression
PRR25,ENSG00000167945,Gene Expression
AL031008.1,ENSG00000275438,Gene Expression
LMF1,ENSG00000103227,Gene Expression
AL031716.1,ENSG00000260022,Gene Expression
LMF1-AS1,ENSG00000260439,Gene Expression
AC009041.2,ENSG00000260807,Gene Expression
SOX8,ENSG00000005513,Gene Expression
AC009041.1,ENSG00000260496,Gene Expression
AC009041.3,ENSG00000261720,Gene Expression
SSTR5,ENSG00000162009,Gene Expression
C1QTNF8,ENSG00000184471,Gene Expression
AL031598.1,ENSG00000260532,Gene Expression
AC120498.8,ENSG00000273551,Gene Expression
CACNA1H,ENSG00000196557,Gene Expression
AC120498.3,ENSG00000260403,Gene Expression
AC120498.1,ENSG00000259910,Gene Expression
AC120498.6,ENSG00000261294,Gene Expression
TPSG1,ENSG00000116176,Gene Expression
