,gene_ids,n_cells
B4GALT6,ENSG00000118276,6
TRAPPC8,ENSG00000153339,52
RP11-326K13.4,ENSG00000263823,28
RNF125,ENSG00000101695,175
RP11-53I6.3,ENSG00000265008,22
RNF138,ENSG00000134758,218
KLHL14,ENSG00000197705,6
DTNA,ENSG00000134769,3
MAPRE2,ENSG00000166974,207
ZNF397,ENSG00000186812,50
ZSCAN30,ENSG00000186814,11
ZNF24,ENSG00000172466,293
ZNF396,ENSG00000186496,3
INO80C,ENSG00000153391,128
GALNT1,ENSG00000141429,78
RP11-873E20.1,ENSG00000267397,3
C18orf21,ENSG00000141428,134
RPRD1A,ENSG00000141425,112
SLC39A6,ENSG00000141424,77
ELP2,ENSG00000134759,145
TPGS2,ENSG00000134779,141
KIAA1328,ENSG00000150477,49
PIK3C3,ENSG00000078142,77
SETBP1,ENSG00000152217,19
SLC14A2,ENSG00000132874,4
SLC14A1,ENSG00000141469,7
EPG5,ENSG00000152223,43
PSTPIP2,ENSG00000152229,79
ATP5A1,ENSG00000152234,1119
HAUS1,ENSG00000152240,184
C18orf25,ENSG00000152242,48
RNF165,ENSG00000141622,5
PIAS2,ENSG00000078043,41
HDHD2,ENSG00000167220,120
IER3IP1-1,ENSG00000134049,379
SMAD2,ENSG00000175387,176
CTIF,ENSG00000134030,3
SMAD7,ENSG00000101665,18
DYM,ENSG00000141627,82
C18orf32,ENSG00000177576,330
RPL17,ENSG00000265681,2587
ACAA2,ENSG00000167315,235
MBD1,ENSG00000141644,104
CXXC1,ENSG00000154832,163
SKA1,ENSG00000154839,3
ME2,ENSG00000082212,164
ELAC1,ENSG00000141642,85
SMAD4,ENSG00000141646,36
MEX3C,ENSG00000176624,31
MBD2,ENSG00000134046,85
POLI,ENSG00000101751,26
RAB27B,ENSG00000041353,23
TCF4,ENSG00000196628,80
TXNL1,ENSG00000091164,486
WDR7,ENSG00000091157,19
FECH,ENSG00000066926,58
NARS,ENSG00000134440,249
RP11-35G9.3,ENSG00000267040,102
ATP8B1,ENSG00000081923,6
NEDD4L,ENSG00000049759,7
RP11-1151B14.4,ENSG00000267257,4
MALT1,ENSG00000172175,125
RP11-108P20.1,ENSG00000267010,12
ZNF532,ENSG00000074657,7
SEC11C,ENSG00000166562,443
LMAN1,ENSG00000074695,135
PMAIP1,ENSG00000141682,354
CDH20,ENSG00000101542,3
RP11-879F14.2,ENSG00000267279,5
PIGN,ENSG00000197563,21
KIAA1468,ENSG00000134444,36
TNFRSF11A,ENSG00000141655,3
ZCCHC2,ENSG00000141664,47
PHLPP1,ENSG00000081913,4
BCL2,ENSG00000171791,209
KDSR,ENSG00000119537,137
RP11-635N19.1,ENSG00000267390,24
VPS4B,ENSG00000119541,232
SERPINB2,ENSG00000197632,3
SERPINB8,ENSG00000166401,43
DSEL,ENSG00000171451,13
TMX3,ENSG00000166479,80
CCDC102B,ENSG00000150636,15
DOK6,ENSG00000206052,5
CD226,ENSG00000150637,50
RTTN,ENSG00000176225,12
SOCS6,ENSG00000170677,13
GTSCR1,ENSG00000263417,11
TIMM21,ENSG00000075336,47
CYB5A,ENSG00000166347,264
CNDP2,ENSG00000133313,268
LINC00909,ENSG00000264247,78
ZNF407,ENSG00000215421,14
ZADH2,ENSG00000180011,73
TSHZ1,ENSG00000179981,31
ZNF516,ENSG00000101493,30
RP11-17M16.1,ENSG00000220032,4
RP11-162A12.2,ENSG00000264278,4
ZNF236,ENSG00000130856,43
RP11-862L9.3,ENSG00000266844,6
MBP,ENSG00000197971,271
ATP9B,ENSG00000166377,48
NFATC1,ENSG00000131196,98
CTDP1,ENSG00000060069,74
PQLC1,ENSG00000122490,73
HSBP1L1,ENSG00000226742,84
TXNL4A,ENSG00000141759,399
RBFA,ENSG00000101546,96
ADNP2,ENSG00000101544,22
AC139100.2,ENSG00000267270,3
C20orf96,ENSG00000196476,18
ZCCHC3,ENSG00000177764,31
RP5-1103G7.4,ENSG00000225377,9
SOX12,ENSG00000177732,3
TRIB3,ENSG00000101255,35
RBCK1,ENSG00000125826,562
TBC1D20,ENSG00000125875,91
CSNK2A1,ENSG00000101266,144
SRXN1,ENSG00000271303,6
FAM110A,ENSG00000125898,209
PSMF1,ENSG00000125818,420
SNPH,ENSG00000101298,5
SDCBP2,ENSG00000125775,5
SDCBP2-AS1,ENSG00000234684,25
RP11-314N13.3,ENSG00000229728,6
FKBP1A,ENSG00000088832,1247
NSFL1C,ENSG00000088833,284
SIRPB2,ENSG00000196209,14
SIRPD,ENSG00000125900,7
SIRPB1,ENSG00000101307,100
SIRPG,ENSG00000089012,160
SIRPA,ENSG00000198053,56
RP4-684O24.5,ENSG00000233896,3
STK35,ENSG00000125834,17
RP11-128M1.1,ENSG00000226644,6
SNRPB,ENSG00000125835,929
ZNF343,ENSG00000088876,11
NOP56,ENSG00000101361,390
IDH3B,ENSG00000101365,468
PCED1A,ENSG00000132635,43
VPS16,ENSG00000215305,106
PTPRA,ENSG00000132670,181
MRPS26,ENSG00000125901,360
OXT,ENSG00000101405,5
UBOX5,ENSG00000185019,28
FASTKD5,ENSG00000215251,43
DDRGK1,ENSG00000198171,322
ITPA,ENSG00000125877,339
C20orf194,ENSG00000088854,32
ATRN,ENSG00000088812,23
SIGLEC1,ENSG00000088827,59
C20orf27,ENSG00000101220,347
CENPB,ENSG00000125817,40
CDC25B,ENSG00000101224,240
AP5S1,ENSG00000125843,30
MAVS,ENSG00000088888,31
RP11-119B16.2,ENSG00000229539,24
PANK2,ENSG00000125779,222
RNF24,ENSG00000101236,58
SMOX,ENSG00000088826,9
PRNP,ENSG00000171867,281
RASSF2,ENSG00000101265,113
SLC23A2,ENSG00000089057,26
TMEM230,ENSG00000089063,836
PCNA,ENSG00000132646,162
CDS2,ENSG00000101290,179
GPCPD1,ENSG00000125772,140
C20orf196,ENSG00000171984,69
CHGB,ENSG00000089199,6
TRMT6,ENSG00000089195,84
MCM8,ENSG00000125885,9
CRLS1,ENSG00000088766,167
TMX4,ENSG00000125827,198
PLCB1,ENSG00000182621,18
LAMP5,ENSG00000125869,3
ANKEF1,ENSG00000132623,11
MKKS,ENSG00000125863,297
SLX4IP,ENSG00000149346,13
BTBD3,ENSG00000132640,5
SPTLC3,ENSG00000172296,4
TASP1,ENSG00000089123,74
ESF1,ENSG00000089048,84
NDUFAF5,ENSG00000101247,31
MACROD2,ENSG00000172264,22
KIF16B,ENSG00000089177,27
SNRPB2,ENSG00000125870,355
BFSP1,ENSG00000125864,6
DSTN,ENSG00000125868,533
RRBP1,ENSG00000125844,87
SNX5,ENSG00000089006,291
MGME1,ENSG00000125871,91
PET117,ENSG00000232838,147
CSRP2BP,ENSG00000149474,32
ZNF133,ENSG00000125846,17
DZANK1,ENSG00000089091,5
POLR3F,ENSG00000132664,57
RBBP9,ENSG00000089050,6
SEC23B,ENSG00000101310,108
LINC00493,ENSG00000232388,513
DTD1,ENSG00000125821,247
RP5-1068E13.7,ENSG00000273148,38
RIN2,ENSG00000132669,6
NAA20,ENSG00000173418,368
CRNKL1,ENSG00000101343,76
RALGAPA2,ENSG00000188559,58
XRN2,ENSG00000088930,375
THBD,ENSG00000178726,12
CD93,ENSG00000125810,46
LINC00656,ENSG00000233746,3
NXT1,ENSG00000132661,363
RP3-322G13.5,ENSG00000232645,10
GZF1,ENSG00000125812,30
NAPB,ENSG00000125814,41
CST3,ENSG00000101439,1075
CST7,ENSG00000077984,535
APMAP,ENSG00000101474,331
ACSS1,ENSG00000154930,146
ENTPD6,ENSG00000197586,75
PYGB,ENSG00000100994,49
ABHD12,ENSG00000100997,89
NANP,ENSG00000170191,9
ZNF337-AS1,ENSG00000213742,16
ZNF337,ENSG00000130684,22
RP4-610C12.3,ENSG00000225490,8
FRG1B,ENSG00000149531,277
HM13,ENSG00000101294,383
ID1,ENSG00000125968,164
BCL2L1,ENSG00000171552,81
RP11-243J16.7,ENSG00000236559,7
TPX2,ENSG00000088325,5
PDRG1,ENSG00000088356,113
HCK,ENSG00000101336,402
TM9SF4,ENSG00000101337,94
PLAGL2,ENSG00000126003,60
POFUT1,ENSG00000101346,36
KIF3B,ENSG00000101350,37
ASXL1,ENSG00000171456,155
C20orf112,ENSG00000197183,66
COMMD7,ENSG00000149600,455
MAPRE1,ENSG00000101367,425
RP5-1085F17.3,ENSG00000260257,9
CDK5RAP1,ENSG00000101391,94
SNTA1,ENSG00000101400,7
CBFA2T2,ENSG00000078699,85
NECAB3,ENSG00000125967,30
ACTL10,ENSG00000182584,16
E2F1,ENSG00000101412,18
PXMP4,ENSG00000101417,43
ZNF341,ENSG00000131061,12
CHMP4B,ENSG00000101421,472
RP5-1125A11.1,ENSG00000228265,9
RALY,ENSG00000125970,611
EIF2S2,ENSG00000125977,723
AHCY,ENSG00000101444,139
ITCH,ENSG00000078747,53
DYNLRB1,ENSG00000125971,761
MAP1LC3A,ENSG00000101460,39
PIGU,ENSG00000101464,63
NCOA6,ENSG00000198646,41
TP53INP2,ENSG00000078804,14
GGT7,ENSG00000131067,41
ACSS2,ENSG00000131069,36
GSS,ENSG00000100983,94
TRPC4AP,ENSG00000100991,154
EDEM2,ENSG00000088298,164
PROCR,ENSG00000101000,19
MMP24-AS1,ENSG00000126005,330
EIF6,ENSG00000242372,609
UQCC1,ENSG00000101019,66
CEP250,ENSG00000126001,40
RP3-477O4.14,ENSG00000230155,57
RP3-477O4.16,ENSG00000268340,3
ERGIC3,ENSG00000125991,682
SPAG4,ENSG00000061656,17
CPNE1,ENSG00000214078,97
RBM12,ENSG00000244462,68
NFS1,ENSG00000244005,44
ROMO1,ENSG00000125995,353
RBM39,ENSG00000131051,954
PHF20,ENSG00000025293,272
SCAND1,ENSG00000171222,815
LINC00657,ENSG00000260032,143
AAR2,ENSG00000131043,63
DLGAP4,ENSG00000080845,123
MYL9,ENSG00000101335,27
TGIF2,ENSG00000118707,44
C20orf24,ENSG00000101084,829
SLA2,ENSG00000101082,118
NDRG3,ENSG00000101079,92
DSN1,ENSG00000149636,31
SOGA1,ENSG00000149639,17
TLDC2,ENSG00000101342,5
SAMHD1,ENSG00000101347,653
RBL1,ENSG00000080839,30
RBL1-1,ENSG00000269846,3
RPN2,ENSG00000118705,602
MANBAL,ENSG00000101363,76
SRC,ENSG00000197122,20
BLCAP,ENSG00000166619,212
CTNNBL1,ENSG00000132792,275
TTI1,ENSG00000101407,35
RPRD1B,ENSG00000101413,24
TGM2,ENSG00000198959,3
RALGAPB,ENSG00000170471,43
ACTR5,ENSG00000101442,27
PPP1R16B,ENSG00000101445,34
DHX35,ENSG00000101452,25
MAFB,ENSG00000204103,260
TOP1,ENSG00000198900,184
PLCG1,ENSG00000124181,78
ZHX3,ENSG00000174306,12
CHD6,ENSG00000124177,122
SRSF6,ENSG00000124193,179
L3MBTL1,ENSG00000185513,9
IFT52,ENSG00000101052,124
MYBL2,ENSG00000101057,12
TOX2,ENSG00000124191,6
OSER1,ENSG00000132823,240
OSER1-AS1,ENSG00000223891,64
FITM2,ENSG00000197296,5
TTPAL,ENSG00000124120,42
SERINC3,ENSG00000132824,219
PKIG,ENSG00000168734,117
ADA,ENSG00000196839,303
RP11-445H22.3,ENSG00000132832,15
YWHAB,ENSG00000166913,1353
PABPC1L,ENSG00000101104,19
TOMM34,ENSG00000025772,37
STK4,ENSG00000101109,557
SYS1,ENSG00000204070,203
PIGT,ENSG00000124155,223
DNTTIP1,ENSG00000101457,184
UBE2C,ENSG00000175063,8
TNNC2,ENSG00000101470,7
SNX21,ENSG00000124104,17
ACOT8,ENSG00000101473,167
ZSWIM3,ENSG00000132801,11
ZSWIM1,ENSG00000168612,9
CTSA,ENSG00000064601,405
PLTP,ENSG00000100979,8
PCIF1,ENSG00000100982,75
ZNF335,ENSG00000198026,60
MMP9,ENSG00000100985,6
SLC12A5,ENSG00000124140,3
NCOA5,ENSG00000124160,39
CD40,ENSG00000101017,164
SLC35C2,ENSG00000080189,164
ELMO2,ENSG00000062598,58
TP53RK,ENSG00000172315,133
ZMYND8,ENSG00000101040,81
NCOA3,ENSG00000124151,138
SULF2,ENSG00000196562,98
LINC00494,ENSG00000235621,6
PREX1,ENSG00000124126,177
ARFGEF2,ENSG00000124198,34
CSE1L,ENSG00000124207,62
STAU1,ENSG00000124214,125
DDX27,ENSG00000124228,237
ZNFX1,ENSG00000124201,154
ZFAS1,ENSG00000177410,1318
B4GALT5,ENSG00000158470,29
SLC9A8,ENSG00000197818,41
SPATA2,ENSG00000158480,31
RNF114,ENSG00000124226,363
SNAI1,ENSG00000124216,16
UBE2V1,ENSG00000244687,38
TMEM189,ENSG00000240849,123
CEBPB,ENSG00000172216,872
RP11-290F20.3,ENSG00000224397,307
PTPN1,ENSG00000196396,198
FAM65C,ENSG00000042062,4
PARD6B,ENSG00000124171,6
BCAS4,ENSG00000124243,144
ADNP,ENSG00000101126,31
RP5-914P20.5,ENSG00000259456,10
DPM1,ENSG00000000419,277
MOCS3,ENSG00000124217,25
KCNG1,ENSG00000026559,23
NFATC2,ENSG00000101096,106
ATP9A,ENSG00000054793,5
ZFP64,ENSG00000020256,38
TSHZ2,ENSG00000182463,108
ZNF217,ENSG00000171940,63
PFDN4,ENSG00000101132,57
FAM210B,ENSG00000124098,79
AURKA,ENSG00000087586,6
CSTF1,ENSG00000101138,75
CASS4,ENSG00000087589,4
RTFDC1,ENSG00000022277,566
FAM209A,ENSG00000124103,3
RAE1,ENSG00000101146,144
RP4-800J21.3,ENSG00000218018,11
RBM38,ENSG00000132819,212
ZBP1,ENSG00000124256,155
PMEPA1,ENSG00000124225,15
PPP4R1L,ENSG00000124224,17
RAB22A,ENSG00000124209,128
VAPB,ENSG00000124164,105
STX16,ENSG00000124222,226
STX16-NPEPL1,ENSG00000254995,4
NPEPL1,ENSG00000215440,63
GNAS,ENSG00000087460,805
NELFCD,ENSG00000101158,221
CTSZ,ENSG00000101160,303
TUBB1,ENSG00000101162,53
ATP5E,ENSG00000124172,2022
SLMO2,ENSG00000101166,280
ZNF831,ENSG00000124203,14
SYCP2,ENSG00000196074,4
FAM217B,ENSG00000196227,89
PPP1R3D,ENSG00000132825,24
CDH26,ENSG00000124215,5
C20orf197,ENSG00000176659,4
RP5-1043L13.1,ENSG00000228340,4
RP11-429E11.3,ENSG00000179253,3
TAF4,ENSG00000130699,20
LSM14B,ENSG00000149657,21
PSMA7,ENSG00000101182,1511
SS18L1,ENSG00000184402,13
MTG2,ENSG00000101181,96
OSBPL2,ENSG00000130703,77
ADRM1,ENSG00000130706,475
LAMA5,ENSG00000130702,4
RPS21,ENSG00000171858,2324
CABLES2,ENSG00000149679,7
SLCO4A1,ENSG00000101187,3
MRGBP,ENSG00000101189,49
OGFR,ENSG00000060491,283
COL9A3,ENSG00000092758,7
TCFL5,ENSG00000101190,5
DIDO1,ENSG00000101191,100
GID8,ENSG00000101193,283
SLC17A9,ENSG00000101194,15
HAR1B,ENSG00000231133,8
HAR1A,ENSG00000225978,17
YTHDF1,ENSG00000149658,57
ARFGAP1,ENSG00000101199,58
PPDPF,ENSG00000125534,2176
PTK6,ENSG00000101213,6
HELZ2,ENSG00000130589,175
GMEB2,ENSG00000101216,28
CTD-3184A7.4,ENSG00000232442,158
STMN3,ENSG00000197457,285
RTEL1-TNFRSF6B,ENSG00000026036,3
ARFRP1,ENSG00000101246,232
ZGPAT,ENSG00000197114,3
RP4-583P15.15,ENSG00000273154,4
LIME1,ENSG00000203896,6
SLC2A4RG,ENSG00000125520,123
RP4-583P15.10,ENSG00000229299,9
ABHD16B,ENSG00000183260,4
TPD52L2,ENSG00000101150,210
DNAJC5,ENSG00000101152,148
UCKL1,ENSG00000198276,133
ZNF512B,ENSG00000196700,11
SAMD10,ENSG00000130590,24
PRPF6,ENSG00000101161,280
LINC00176,ENSG00000196421,164
TCEA2,ENSG00000171703,145
RGS19,ENSG00000171700,724
OPRL1,ENSG00000125510,13
C20orf201,ENSG00000171695,15
PCMTD2,ENSG00000203880,118
MIER2,ENSG00000105556,30
MADCAM1,ENSG00000099866,3
TPGS1,ENSG00000141933,324
CDC34,ENSG00000099804,50
GZMM,ENSG00000197540,664
AC009005.2,ENSG00000267751,6
BSG,ENSG00000172270,669
POLRMT,ENSG00000099821,74
RNF126,ENSG00000070423,437
FSTL3,ENSG00000070404,18
PRSS57,ENSG00000185198,13
PTBP1,ENSG00000011304,319
AZU1,ENSG00000172232,6
ELANE,ENSG00000197561,6
CFD,ENSG00000197766,616
MED16,ENSG00000175221,126
R3HDM4,ENSG00000198858,303
KISS1R,ENSG00000116014,7
ARID3A,ENSG00000116017,37
WDR18,ENSG00000065268,164
TMEM259,ENSG00000182087,212
CNN2,ENSG00000064666,934
AC011558.5,ENSG00000267020,8
ABCA7,ENSG00000064687,40
HMHA1,ENSG00000180448,611
POLR2E,ENSG00000099817,441
GPX4,ENSG00000167468,1458
SBNO2,ENSG00000064932,18
STK11,ENSG00000118046,48
ATP5D,ENSG00000099624,1459
MIDN,ENSG00000167470,289
CIRBP,ENSG00000099622,1898
C19orf24,ENSG00000228300,505
MUM1,ENSG00000160953,75
NDUFS7,ENSG00000115286,782
GAMT,ENSG00000130005,80
DAZAP1,ENSG00000071626,204
RPS15,ENSG00000115268,2677
AC027307.3,ENSG00000268798,23
C19orf25,ENSG00000119559,239
PCSK4,ENSG00000115257,4
REEP6,ENSG00000115255,13
ADAMTSL5,ENSG00000185761,3
MBD3,ENSG00000071655,45
UQCR11-1,ENSG00000127540,1525
TCF3,ENSG00000071564,44
ATP8B3,ENSG00000130270,7
REXO1,ENSG00000079313,27
KLF16,ENSG00000129911,25
CTB-31O20.2,ENSG00000261526,122
ABHD17A,ENSG00000129968,172
SCAMP4,ENSG00000227500,106
ADAT3,ENSG00000213638,9
CSNK1G2,ENSG00000133275,78
BTBD2,ENSG00000133243,45
AC005306.3,ENSG00000267283,10
MKNK2,ENSG00000099875,164
MOB3A,ENSG00000172081,261
IZUMO4,ENSG00000099840,31
AP3D1,ENSG00000065000,122
DOT1L,ENSG00000104885,31
PLEKHJ1,ENSG00000104886,446
SF3A2,ENSG00000104897,213
JSRP1,ENSG00000167476,6
OAZ1,ENSG00000104904,2450
C19orf35,ENSG00000188305,8
LINGO3,ENSG00000220008,3
LSM7,ENSG00000130332,726
TIMM13,ENSG00000099800,561
LMNB2,ENSG00000176619,43
GADD45B,ENSG00000099860,634
GNG7,ENSG00000176533,143
DIRAS1,ENSG00000176490,6
SLC39A3,ENSG00000141873,171
SGTA,ENSG00000104969,98
THOP1,ENSG00000172009,35
ZNF554,ENSG00000172006,8
ZNF555,ENSG00000186300,13
ZNF57,ENSG00000171970,4
ZNF77,ENSG00000175691,7
TLE2,ENSG00000065717,19
AC005944.2,ENSG00000267469,6
AES,ENSG00000104964,1319
GNA11,ENSG00000088256,3
GNA15,ENSG00000060558,63
S1PR4,ENSG00000125910,707
NCLN,ENSG00000125912,64
NFIC,ENSG00000141905,104
C19orf77,ENSG00000095932,3
DOHH,ENSG00000129932,55
FZR1,ENSG00000105325,57
MFSD12,ENSG00000161091,67
HMG20B,ENSG00000064961,198
TBXA2R,ENSG00000006638,14
CACTIN,ENSG00000105298,22
PIP5K1C,ENSG00000186111,36
TJP3,ENSG00000105289,13
APBA3,ENSG00000011132,78
MRPL54,ENSG00000183617,609
MATK,ENSG00000007264,187
ZFR2,ENSG00000105278,8
DAPK3,ENSG00000167657,76
EEF2,ENSG00000167658,2241
PIAS4,ENSG00000105229,56
AC016586.1,ENSG00000205147,22
ZBTB7A,ENSG00000178951,202
MAP2K2,ENSG00000126934,227
SIRT6,ENSG00000077463,82
EBI3,ENSG00000105246,10
CCDC94,ENSG00000105248,125
TMIGD2,ENSG00000167664,151
FSD1,ENSG00000105255,8
STAP2,ENSG00000178078,9
MPND,ENSG00000008382,24
SH3GL1,ENSG00000141985,82
CHAF1A,ENSG00000167670,55
UBXN6,ENSG00000167671,107
HDGFRP2,ENSG00000167674,60
PLIN5,ENSG00000214456,3
LRG1,ENSG00000171236,4
SEMA6B,ENSG00000167680,5
TNFAIP8L1,ENSG00000185361,48
C19orf10,ENSG00000074842,586
DPP9,ENSG00000142002,78
FEM1A,ENSG00000141965,69
AC005523.2,ENSG00000269604,20
TICAM1,ENSG00000127666,65
CTC-518P12.6,ENSG00000267484,3
PLIN3,ENSG00000105355,166
ARRDC5,ENSG00000205784,19
KDM4B,ENSG00000127663,76
SAFB2,ENSG00000130254,192
SAFB,ENSG00000160633,222
RPL36,ENSG00000130255,2584
C19orf70,ENSG00000174917,595
HSD11B1L,ENSG00000167733,26
LONP1,ENSG00000196365,41
PRR22,ENSG00000212123,4
DUS3L,ENSG00000141994,155
AC024592.12,ENSG00000267740,6
NDUFA11,ENSG00000174886,1103
VMAC,ENSG00000187650,66
AC104532.4,ENSG00000267571,8
CAPS,ENSG00000105519,23
RANBP3,ENSG00000031823,113
RFX2,ENSG00000087903,16
CTC-503J8.6,ENSG00000267427,28
CLPP,ENSG00000125656,329
ALKBH7,ENSG00000125652,635
PSPN,ENSG00000125650,8
GTF2F1,ENSG00000125651,230
KHSRP,ENSG00000088247,82
SLC25A23,ENSG00000125648,11
CRB3,ENSG00000130545,17
DENND1C,ENSG00000205744,158
TUBB4A,ENSG00000104833,6
CD70,ENSG00000125726,21
TNFSF14,ENSG00000125735,40
C3,ENSG00000125730,10
GPR108,ENSG00000125734,230
TRIP10,ENSG00000125733,6
SH2D3A,ENSG00000125731,82
VAV1,ENSG00000141968,167
EMR1,ENSG00000174837,55
ZNF557,ENSG00000130544,20
INSR,ENSG00000171105,12
CTB-133G6.1,ENSG00000263264,39
CTB-133G6.2,ENSG00000267852,6
ARHGEF18,ENSG00000104880,82
PEX11G,ENSG00000104883,11
ZNF358,ENSG00000198816,13
MCOLN1,ENSG00000090674,86
PNPLA6,ENSG00000032444,118
XAB2,ENSG00000076924,147
PET100,ENSG00000229833,465
CTD-3214H19.4,ENSG00000268400,5
PCP2,ENSG00000174788,11
STXBP2,ENSG00000076944,653
RETN,ENSG00000104918,114
C19orf59,ENSG00000183019,58
TRAPPC5,ENSG00000181029,148
FCER2,ENSG00000104921,155
CLEC4G,ENSG00000182566,26
EVI5L,ENSG00000142459,12
MAP2K7,ENSG00000076984,130
TGFBR3L,ENSG00000260001,4
SNAPC2,ENSG00000104976,105
TIMM44,ENSG00000104980,62
ELAVL1,ENSG00000066044,270
CTD-2325M2.1,ENSG00000267939,10
CERS4,ENSG00000090661,51
CD320,ENSG00000167775,168
NDUFA7-1,ENSG00000267855,435
RPS28,ENSG00000233927,2625
KANK3,ENSG00000186994,5
RAB11B-AS1,ENSG00000269386,35
RAB11B,ENSG00000185236,384
MARCH2,ENSG00000099785,147
HNRNPM,ENSG00000099783,840
PRAM1,ENSG00000133246,183
ZNF414,ENSG00000133250,116
MYO1F,ENSG00000142347,640
ADAMTS10,ENSG00000142303,13
ZNF558,ENSG00000167785,14
ZNF317,ENSG00000130803,48
ZNF699,ENSG00000196110,31
ZNF559,ENSG00000188321,39
ZNF266,ENSG00000174652,60
ZNF426,ENSG00000130818,31
ZNF121,ENSG00000197961,16
ZNF561,ENSG00000171469,55
C19orf82,ENSG00000267106,22
ZNF562,ENSG00000171466,29
ZNF846,ENSG00000196605,46
FBXL12,ENSG00000127452,94
UBL5,ENSG00000198258,1198
CTD-2623N2.11,ENSG00000267289,5
PIN1,ENSG00000127445,531
OLFM2,ENSG00000105088,31
C19orf66,ENSG00000130813,461
ANGPTL6,ENSG00000130812,7
PPAN,ENSG00000130810,131
P2RY11,ENSG00000244165,16
EIF3G,ENSG00000130811,1540
DNMT1,ENSG00000130816,204
CTD-2369P2.2,ENSG00000175898,8
MRPL4,ENSG00000105364,241
ICAM1,ENSG00000090339,40
ICAM4,ENSG00000105371,36
ZGLP1,ENSG00000220201,37
FDX1L,ENSG00000267673,60
RAVER1,ENSG00000161847,40
ICAM3,ENSG00000076662,1125
TYK2,ENSG00000105397,102
CDC37,ENSG00000105401,608
PDE4A,ENSG00000065989,46
KEAP1,ENSG00000079999,83
S1PR5,ENSG00000180739,123
ATG4D,ENSG00000130734,86
KRI1,ENSG00000129347,89
CDKN2D,ENSG00000129355,595
SLC44A2,ENSG00000129353,245
ILF3-AS1,ENSG00000267100,437
ILF3,ENSG00000129351,251
QTRT1,ENSG00000213339,157
DNM2,ENSG00000079805,185
TMED1,ENSG00000099203,137
C19orf38,ENSG00000214212,277
CARM1,ENSG00000142453,11
YIPF2,ENSG00000130733,29
C19orf52,ENSG00000142444,104
SMARCA4,ENSG00000127616,128
LDLR,ENSG00000130164,40
RAB3D,ENSG00000105514,85
TMEM205,ENSG00000105518,303
CCDC159,ENSG00000183401,126
DKFZP761J1410,ENSG00000105520,45
SWSAP1,ENSG00000173928,70
EPOR,ENSG00000187266,45
CCDC151,ENSG00000198003,12
PRKCSH,ENSG00000130175,382
ZNF653,ENSG00000161914,7
ECSIT,ENSG00000130159,182
ELOF1,ENSG00000130165,379
ZNF627,ENSG00000198551,14
ACP5,ENSG00000102575,120
ZNF823,ENSG00000197933,9
ZNF441,ENSG00000197044,8
ZNF440,ENSG00000171295,10
ZNF439,ENSG00000171291,46
ZNF69,ENSG00000198429,12
ZNF700,ENSG00000196757,15
ZNF763,ENSG00000197054,3
ZNF433,ENSG00000197647,3
ZNF844,ENSG00000223547,20
ZNF625,ENSG00000257591,3
ZNF136,ENSG00000196646,57
CTD-2666L21.1,ENSG00000234773,4
ZNF44,ENSG00000197857,131
ZNF563,ENSG00000188868,45
ZNF442,ENSG00000198342,9
ZNF799,ENSG00000196466,19
ZNF443,ENSG00000180855,9
ZNF709,ENSG00000242852,3
ZNF564,ENSG00000249709,10
ZNF490,ENSG00000188033,9
ZNF791,ENSG00000173875,149
CTD-2192J16.22,ENSG00000269242,14
MAN2B1,ENSG00000104774,74
WDR83,ENSG00000123154,80
WDR83OS,ENSG00000105583,933
DHPS,ENSG00000095059,391
FBXW9,ENSG00000132004,14
TNPO2,ENSG00000105576,29
C19orf43,ENSG00000123144,1662
ASNA1,ENSG00000198356,345
HOOK2,ENSG00000095066,117
CTD-2659N19.9,ENSG00000267212,3
JUNB,ENSG00000171223,2434
PRDX2,ENSG00000167815,777
RNASEH2A,ENSG00000104889,93
DNASE2,ENSG00000105612,234
GCDH,ENSG00000105607,105
FARSA,ENSG00000179115,149
CALR,ENSG00000179218,748
CTC-425F1.4,ENSG00000267458,5
RAD23A,ENSG00000179262,527
GADD45GIP1,ENSG00000179271,710
NFIX,ENSG00000008441,11
LYL1,ENSG00000104903,313
TRMT1,ENSG00000104907,209
NACC1,ENSG00000160877,32
STX10,ENSG00000104915,396
IER2,ENSG00000160888,1705
CTC-250I14.6,ENSG00000267598,57
CACNA1A,ENSG00000141837,10
CCDC130,ENSG00000104957,95
MRI1,ENSG00000037757,53
C19orf53,ENSG00000104979,1112
ZSWIM4,ENSG00000132003,6
MIR24-2,ENSG00000267519,296
CC2D1A,ENSG00000132024,68
DCAF15,ENSG00000132017,80
RFX1,ENSG00000132005,54
CTB-55O6.4,ENSG00000267670,8
IL27RA,ENSG00000104998,284
hsa-mir-1199,ENSG00000141854,6
SAMD1,ENSG00000141858,21
PRKACA,ENSG00000072062,103
ASF1B,ENSG00000105011,22
CTB-55O6.12,ENSG00000267169,29
LPHN1,ENSG00000072071,7
CD97,ENSG00000123146,604
DDX39A,ENSG00000123136,350
PKN1,ENSG00000123143,327
GIPC1,ENSG00000123159,114
DNAJB1,ENSG00000132002,787
TECR,ENSG00000099797,568
NDUFB7,ENSG00000099795,773
CLEC17A,ENSG00000187912,15
EMR3,ENSG00000131355,14
ZNF333,ENSG00000160961,39
EMR2,ENSG00000127507,105
ILVBL,ENSG00000105135,69
EPHX3,ENSG00000105131,7
AC004257.3,ENSG00000270143,8
